red,green,blue,off,position,color
590,271,608,9,10,green
426,171,470,61,11,green
698,230,653,3,12,yellow
686,192,636,6,13,yellow
543,125,575,15,14,yellow
677,193,605,39,15,yellow
414,146,368,0,0,blue
467,245,541,6,1,blue
473,152,463,13,2,blue
615,415,670,22,3,blue
517,341,297,132,4,red
660,417,385,27,5,red
715,225,178,2,6,red
770,362,321,2,7,red
578,320,782,0,8,green
572,165,584,0,9,green
589,272,609,8,10,green
424,171,470,61,11,green
697,232,654,2,12,yellow
684,191,636,6,13,yellow
539,124,575,16,14,yellow
671,187,602,43,15,yellow
413,146,366,1,0,blue
470,250,545,2,1,blue
470,151,460,15,2,blue
613,414,669,22,3,blue
518,342,298,130,4,red
664,421,387,24,5,red
713,223,175,4,6,red
770,361,320,2,7,red
577,320,782,0,8,green
571,162,581,2,9,green
587,271,607,9,10,green
423,172,468,62,11,green
695,230,652,4,12,yellow
686,194,638,4,13,yellow
539,124,574,16,14,yellow
671,189,601,43,15,yellow
412,142,365,3,0,blue
469,247,543,4,1,blue
473,153,463,13,2,blue
611,412,666,24,3,blue
517,341,298,131,4,red
664,420,388,24,5,red
715,224,178,2,6,red
769,361,319,3,7,red
577,321,780,0,8,green
572,164,584,0,9,green
586,268,606,11,10,green
424,171,470,61,11,green
697,231,654,2,12,yellow
685,191,637,6,13,yellow
540,125,576,15,14,yellow
675,190,605,39,15,yellow
413,146,367,1,0,blue
471,250,545,2,1,blue
470,151,461,15,2,blue
613,414,669,22,3,blue
518,341,298,131,4,red
662,419,387,25,5,red
711,221,173,5,6,red
770,362,321,1,7,red
578,320,782,0,8,green
571,162,583,1,9,green
587,271,607,9,10,green
424,172,469,61,11,green
697,232,653,3,12,yellow
684,192,636,6,13,yellow
538,122,573,17,14,yellow
670,188,600,44,15,yellow
412,138,357,1,0,blue
473,251,548,4,1,blue
480,157,471,11,2,blue
611,413,666,25,3,blue
521,345,296,130,4,red
662,421,387,25,5,red
714,220,180,4,6,red
766,357,321,4,7,red
567,313,780,0,8,green
580,166,583,0,9,green
590,272,610,9,10,green
422,172,471,61,11,green
695,231,652,3,12,yellow
683,195,635,6,13,yellow
545,121,579,14,14,yellow
671,191,603,40,15,yellow
413,138,359,0,0,blue
471,249,546,6,1,blue
478,155,469,13,2,blue
615,415,670,22,3,blue
519,343,295,132,4,red
660,420,387,26,5,red
713,220,181,4,6,red
767,359,324,2,7,red
567,314,780,0,8,green
580,167,583,0,9,green
590,272,610,9,10,green
422,173,470,61,11,green
697,233,653,2,12,yellow
685,194,635,6,13,yellow
544,121,579,15,14,yellow
670,191,601,42,15,yellow
412,140,359,0,0,blue
475,253,550,2,1,blue
475,152,467,15,2,blue
614,415,670,22,3,blue
520,344,295,131,4,red
663,422,389,24,5,red
714,220,178,4,6,red
769,360,325,1,7,red
567,314,782,0,8,green
578,165,581,2,9,green
590,273,611,9,10,green
