red,green,blue,off,position,color
608,620,327,6,10,green
492,534,238,5,11,green
623,584,316,11,12,yellow
624,598,277,13,13,yellow
505,561,191,12,14,yellow
682,613,288,13,15,yellow
446,395,163,0,0,blue
441,513,248,2,1,blue
446,492,162,0,2,blue
604,652,474,0,3,blue
668,378,452,6,4,red
695,395,445,1,5,red
706,214,260,2,6,red
740,366,416,5,7,red
599,735,375,3,8,green
592,577,250,9,9,green
610,622,329,4,10,green
492,534,238,5,11,green
623,583,316,12,12,yellow
625,599,279,12,13,yellow
504,559,191,13,14,yellow
682,611,287,15,15,yellow
446,394,165,0,0,blue
442,513,247,2,1,blue
446,491,161,0,2,blue
603,651,472,1,3,blue
669,380,454,4,4,red
694,394,444,2,5,red
707,214,260,2,6,red
739,366,415,6,7,red
599,736,375,3,8,green
593,578,249,8,9,green
609,620,327,6,10,green
492,534,240,5,11,green
625,585,317,10,12,yellow
625,601,278,12,13,yellow
502,558,190,15,14,yellow
680,609,284,16,15,yellow
444,392,162,3,0,blue
443,515,249,0,1,blue
445,492,161,0,2,blue
604,652,473,0,3,blue
668,379,453,5,4,red
695,395,444,1,5,red
708,214,259,2,6,red
739,365,414,6,7,red
599,736,375,3,8,green
593,578,249,8,9,green
609,622,328,5,10,green
491,533,239,6,11,green
624,584,316,11,12,yellow
623,598,277,13,13,yellow
504,559,191,13,14,yellow
683,613,287,13,15,yellow
446,394,164,1,0,blue
442,514,248,1,1,blue
445,492,162,0,2,blue
604,652,473,0,3,blue
670,381,455,3,4,red
691,393,442,3,5,red
708,215,259,2,6,red
739,366,414,6,7,red
597,734,373,5,8,green
595,580,251,6,9,green
609,622,328,5,10,green
491,534,238,5,11,green
625,584,317,10,12,yellow
623,598,278,13,13,yellow
505,561,190,12,14,yellow
684,614,289,12,15,yellow
659,546,125,1,0,yellow
690,669,191,2,1,yellow
727,663,127,0,2,yellow
824,773,352,0,3,yellow
564,399,485,4,4,blue
600,399,474,0,5,blue
535,214,298,4,6,blue
612,367,438,3,7,blue
682,708,373,3,8,red
678,544,250,10,9,red
687,597,328,5,10,red
586,497,240,5,11,red
549,555,312,9,12,green
540,571,274,11,13,green
404,522,183,11,14,green
620,595,283,9,15,green
657,543,124,1,0,yellow
689,669,190,1,1,yellow
726,662,126,0,2,yellow
823,772,349,0,3,yellow
560,396,481,5,4,blue
598,397,471,0,5,blue
536,216,297,1,6,blue
607,360,431,8,7,blue
679,705,370,3,8,red
679,546,250,7,9,red
684,594,324,6,10,red
583,493,237,6,11,red
546,552,309,9,12,green
538,569,272,11,13,green
400,519,181,11,14,green
615,590,281,11,15,green
656,543,123,1,0,yellow
689,669,190,1,1,yellow
725,662,127,0,2,yellow
823,770,349,0,3,yellow
561,397,482,4,4,blue
596,394,469,2,5,blue
535,215,297,2,6,blue
606,361,432,7,7,blue
679,706,370,3,8,red
679,545,249,7,9,red
682,592,324,8,10,red
584,494,238,5,11,red
545,551,308,10,12,green
537,568,272,12,13,green
401,519,181,11,14,green
613,589,277,13,15,green
656,544,124,1,0,yellow
689,669,190,1,1,yellow
725,661,126,0,2,yellow
822,771,348,0,3,yellow
560,395,481,5,4,blue
597,396,470,1,5,blue
535,215,296,2,6,blue
607,361,432,7,7,blue
679,705,370,3,8,red
679,545,250,7,9,red
685,594,324,6,10,red
584,494,237,5,11,red
544,550,308,11,12,green
538,569,272,11,13,green
400,519,181,11,14,green
616,590,280,11,15,green
657,545,124,0,0,yellow
686,667,188,3,1,yellow
725,662,125,0,2,yellow
822,773,348,0,3,yellow
559,394,480,6,4,blue
597,396,469,1,5,blue
535,214,296,2,6,blue
609,362,432,6,7,blue
679,704,369,4,8,red
678,545,250,7,9,red
687,596,326,4,10,red
585,495,238,4,11,red
543,551,307,11,12,green
538,570,273,10,13,green
401,521,182,10,14,green
615,590,280,12,15,green
658,545,125,1,0,yellow
691,672,193,1,1,yellow
729,664,126,1,2,yellow
822,770,352,0,3,yellow
564,402,488,4,4,blue
597,397,473,2,5,blue
541,216,300,2,6,blue
610,364,433,6,7,blue
679,707,371,4,8,red
682,546,254,6,9,red
682,592,328,7,10,red
592,503,235,5,11,red
547,556,312,9,12,green
535,569,270,14,13,green
410,521,186,10,14,green
616,591,280,13,15,green
653,542,123,3,0,yellow
689,670,190,1,1,yellow
728,663,123,0,2,yellow
820,771,349,0,3,yellow
561,400,485,4,4,blue
594,394,468,3,5,blue
537,212,296,3,6,blue
608,362,429,6,7,blue
674,704,367,5,8,red
681,544,251,6,9,red
684,593,329,4,10,red
587,499,232,7,11,red
545,553,309,9,12,green
534,569,268,12,13,green
407,519,185,10,14,green
616,590,279,11,15,green
656,543,123,1,0,yellow
685,667,188,4,1,yellow
728,662,124,0,2,yellow
820,771,350,0,3,yellow
562,400,487,3,4,blue
595,395,470,2,5,blue
538,214,297,2,6,blue
607,362,430,6,7,blue
677,706,370,3,8,red
677,541,250,9,9,red
681,591,327,6,10,red
589,501,233,5,11,red
545,553,309,9,12,green
534,569,269,12,13,green
403,515,181,14,14,green
616,590,280,11,15,green
656,543,123,1,0,yellow
685,667,190,3,1,yellow
728,662,125,0,2,yellow
820,771,349,0,3,yellow
559,397,483,6,4,blue
596,396,470,1,5,blue
538,214,297,2,6,blue
608,362,429,6,7,blue
677,705,368,4,8,red
678,543,252,7,9,red
683,592,329,4,10,red
590,502,234,4,11,red
542,550,307,12,12,green
535,569,270,11,13,green
406,518,183,11,14,green
614,589,278,12,15,green
655,543,124,1,0,yellow
689,670,190,1,1,yellow
729,662,124,0,2,yellow
819,771,350,0,3,yellow
562,400,486,3,4,blue
596,396,470,1,5,blue
535,210,294,5,6,blue
609,363,430,5,7,blue
676,705,368,4,8,red
680,542,251,7,9,red
682,590,327,6,10,red
588,500,233,6,11,red
546,554,310,8,12,green
536,571,271,10,13,green
405,516,182,13,14,green
616,591,279,11,15,green
655,541,124,1,0,yellow
689,667,190,2,1,yellow
729,663,123,0,2,yellow
825,771,346,0,3,yellow
563,393,481,4,4,blue
599,402,474,1,5,blue
545,216,299,1,6,blue
611,361,430,5,7,blue
683,708,360,6,8,red
680,543,250,7,9,red
684,588,328,6,10,red
588,495,237,6,11,red
548,553,309,9,12,green
534,569,270,12,13,green
404,516,179,13,14,green
619,588,277,13,15,green
652,540,122,2,0,yellow
688,668,191,1,1,yellow
728,663,123,0,2,yellow
821,771,346,0,3,yellow
562,395,483,2,4,blue
598,402,475,0,5,blue
539,213,297,4,6,blue
608,361,429,6,7,blue
683,711,362,3,8,red
676,543,249,8,9,red
683,589,329,5,10,red
585,495,236,6,11,red
545,553,309,9,12,green
532,570,269,12,13,green
402,517,181,12,14,green
620,591,280,10,15,green
652,540,122,2,0,yellow
686,667,191,2,1,yellow
727,662,123,0,2,yellow
823,771,346,0,3,yellow
558,391,479,6,4,blue
596,401,474,2,5,blue
540,215,299,2,6,blue
608,360,429,6,7,blue
682,710,361,4,8,red
677,544,252,7,9,red
682,589,329,5,10,red
586,496,237,5,11,red
544,552,308,10,12,green
531,569,269,12,13,green
403,518,181,11,14,green
617,587,279,13,15,green
654,544,124,0,0,yellow
684,667,188,4,1,yellow
728,664,123,0,2,yellow
822,772,346,0,3,yellow
560,394,480,5,4,blue
597,404,474,1,5,blue
539,216,298,3,6,blue
611,365,432,3,7,blue
683,713,361,3,8,red
674,544,249,9,9,red
682,591,328,5,10,red
587,499,238,4,11,red
542,552,306,12,12,green
532,572,270,11,13,green
403,520,181,11,14,green
616,588,278,14,15,green
652,541,125,1,0,yellow
687,668,191,1,1,yellow
728,663,124,0,2,yellow
823,772,346,0,3,yellow
561,393,481,4,4,blue
597,401,474,1,5,blue
540,214,298,3,6,blue
609,362,430,5,7,blue
681,710,361,4,8,red
679,545,251,6,9,red
684,590,330,4,10,red
584,494,236,7,11,red
545,553,309,9,12,green
533,570,270,11,13,green
401,516,180,13,14,green
619,589,279,11,15,green
657,541,120,4,0,yellow
687,666,190,2,1,yellow
729,662,126,0,2,yellow
823,771,345,0,3,yellow
563,392,480,4,4,blue
597,394,470,2,5,blue
541,218,303,2,6,blue
613,362,430,6,7,blue
679,705,366,6,8,red
684,547,246,7,9,red
683,591,329,5,10,red
587,492,236,6,11,red
551,554,310,8,12,green
533,569,269,13,13,green
403,518,181,11,14,green
617,588,277,13,15,green
654,542,121,3,0,yellow
686,667,191,1,1,yellow
727,662,124,0,2,yellow
822,772,346,0,3,yellow
561,392,480,4,4,blue
596,395,471,1,5,blue
538,217,303,2,6,blue
611,363,431,5,7,blue
678,707,368,4,8,red
683,548,248,6,9,red
682,592,329,4,10,red
583,491,236,7,11,red
549,553,309,8,12,green
534,571,271,10,13,green
399,518,181,12,14,green
617,590,278,11,15,green
658,544,124,0,0,yellow
681,665,190,4,1,yellow
727,662,124,0,2,yellow
822,773,345,0,3,yellow
559,390,477,6,4,blue
595,395,470,2,5,blue
538,216,303,2,6,blue
610,361,430,6,7,blue
680,707,368,3,8,red
680,546,246,8,9,red
683,593,330,3,10,red
586,494,238,4,11,red
545,551,307,11,12,green
533,570,270,11,13,green
400,519,181,11,14,green
614,588,279,13,15,green
656,543,122,2,0,yellow
684,667,193,1,1,yellow
727,662,124,0,2,yellow
822,771,345,0,3,yellow
558,390,477,6,4,blue
596,396,471,1,5,blue
538,217,303,2,6,blue
611,363,431,5,7,blue
679,707,368,4,8,red
682,547,247,7,9,red
681,589,327,6,10,red
585,493,238,5,11,red
545,550,307,11,12,green
534,571,272,10,13,green
401,520,182,10,14,green
613,586,275,15,15,green
656,543,123,2,0,yellow
686,667,191,1,1,yellow
728,662,124,0,2,yellow
823,771,346,0,3,yellow
563,393,481,3,4,blue
598,397,472,0,5,blue
537,215,300,4,6,blue
611,362,430,6,7,blue
682,708,369,3,8,red
683,547,246,7,9,red
681,590,327,6,10,red
586,492,238,5,11,red
548,551,308,10,12,green
534,570,271,11,13,green
399,517,179,13,14,green
618,590,279,11,15,green
482,466,115,1,0,green
495,597,185,0,1,green
513,583,122,0,2,green
662,708,347,0,3,green
689,549,460,4,4,yellow
714,552,450,2,5,yellow
731,376,271,2,6,yellow
762,476,423,7,7,yellow
580,713,444,3,8,blue
579,549,289,7,9,blue
595,592,359,5,10,blue
469,497,285,6,11,blue
612,531,312,10,12,red
612,552,271,13,13,red
483,490,184,12,14,red
666,570,283,16,15,red
480,464,114,1,0,green
492,594,183,1,1,green
511,580,120,0,2,green
659,707,344,0,3,green
683,543,454,7,4,yellow
713,551,448,1,5,yellow
728,373,269,2,6,yellow
758,471,418,9,7,yellow
576,710,441,3,8,blue
577,547,286,7,9,blue
592,589,355,6,10,blue
467,495,284,5,11,blue
609,529,310,10,12,red
612,551,270,12,13,red
481,488,184,11,14,red
664,569,280,15,15,red
481,465,116,0,0,green
492,594,183,1,1,green
511,581,120,0,2,green
659,707,345,0,3,green
684,543,454,7,4,yellow
713,551,448,1,5,yellow
727,373,269,2,6,yellow
759,472,419,8,7,yellow
575,711,439,4,8,blue
577,547,286,7,9,blue
594,590,357,4,10,blue
467,495,284,5,11,blue
609,528,309,11,12,red
613,552,270,11,13,red
480,487,185,12,14,red
669,573,285,11,15,red
478,462,114,3,0,green
493,594,183,0,1,green
510,581,119,0,2,green
659,707,344,0,3,green
688,546,457,4,4,yellow
711,550,448,2,5,yellow
729,374,269,1,6,yellow
762,475,422,5,7,yellow
574,709,439,5,8,blue
577,547,287,6,9,blue
593,590,356,5,10,blue
465,493,281,7,11,blue
609,528,310,10,12,red
611,550,268,13,13,red
480,487,183,12,14,red
664,568,279,16,15,red
481,465,117,0,0,green
493,595,183,0,1,green
510,580,118,1,2,green
659,707,344,0,3,green
687,545,456,5,4,yellow
711,550,448,2,5,yellow
728,373,269,2,6,yellow
760,474,421,6,7,yellow
576,710,441,3,8,blue
577,548,287,6,9,blue
591,589,355,6,10,blue
467,495,284,5,11,blue
609,529,310,10,12,red
610,549,267,14,13,red
480,487,182,12,14,red
666,571,282,13,15,red
492,467,116,0,0,green
491,595,185,1,1,green
509,581,118,0,2,green
653,709,338,0,3,green
686,544,453,7,4,yellow
717,555,449,1,5,yellow
732,376,267,3,6,yellow
753,469,419,7,7,yellow
579,710,435,3,8,blue
579,548,286,7,9,blue
597,597,361,4,10,blue
470,497,281,4,11,blue
609,529,308,11,12,red
613,552,273,11,13,red
489,497,179,11,14,red
668,574,284,13,15,red
488,464,115,1,0,green
487,592,184,2,1,green
506,579,118,0,2,green
650,706,338,0,3,green
684,542,453,7,4,yellow
715,552,449,1,5,yellow
730,374,269,2,6,yellow
751,466,418,7,7,yellow
576,709,434,3,8,blue
577,546,287,7,9,blue
594,593,360,5,10,blue
467,494,282,4,11,blue
607,526,308,11,12,red
611,549,272,11,13,red
