red,green,blue,off,position,color
437,379,148,0,0,blue
441,519,248,0,1,blue
445,499,151,0,2,blue
601,646,466,0,3,blue
688,370,435,1,4,red
701,362,396,0,5,red
726,168,194,0,6,red
764,327,352,0,7,red
580,748,318,0,8,green
581,595,169,0,9,green
594,620,268,0,10,green
493,534,202,0,11,green
694,655,246,1,12,yellow
697,648,202,0,13,yellow
590,614,137,2,14,yellow
749,672,186,2,15,yellow
437,379,147,0,0,blue
441,519,248,0,1,blue
444,499,151,0,2,blue
601,647,466,0,3,blue
689,371,436,0,4,red
702,361,396,0,5,red
725,168,196,0,6,red
765,327,352,0,7,red
579,747,317,0,8,green
581,595,169,0,9,green
594,619,268,0,10,green
492,534,200,1,11,green
695,656,247,0,12,yellow
698,649,202,0,13,yellow
590,614,137,2,14,yellow
749,671,184,2,15,yellow
437,380,147,0,0,blue
439,518,247,2,1,blue
444,499,150,0,2,blue
601,646,466,0,3,blue
688,371,436,0,4,red
702,362,396,0,5,red
725,169,195,0,6,red
766,327,352,0,7,red
579,747,317,0,8,green
580,595,169,0,9,green
594,620,267,0,10,green
493,534,201,0,11,green
693,654,245,2,12,yellow
697,648,202,0,13,yellow
590,614,137,2,14,yellow
749,673,182,1,15,yellow
437,380,148,0,0,blue
441,520,248,0,1,blue
444,499,151,0,2,blue
601,646,466,0,3,blue
689,371,436,0,4,red
701,361,396,0,5,red
726,170,196,0,6,red
764,327,352,0,7,red
579,747,318,0,8,green
581,595,169,0,9,green
594,620,267,0,10,green
493,534,201,0,11,green
695,657,246,0,12,yellow
696,647,202,1,13,yellow
590,614,137,2,14,yellow
750,673,186,1,15,yellow
437,380,146,0,0,blue
441,520,249,0,1,blue
444,499,151,0,2,blue
601,647,466,0,3,blue
690,371,436,0,4,red
702,362,396,0,5,red
725,168,195,0,6,red
765,327,352,0,7,red
579,747,317,0,8,green
581,595,170,0,9,green
595,619,267,0,10,green
492,533,199,1,11,green
695,656,248,0,12,yellow
698,648,202,0,13,yellow
588,611,135,4,14,yellow
749,672,185,2,15,yellow
436,385,154,0,0,blue
438,507,242,0,1,blue
446,508,154,0,2,blue
603,646,459,0,3,blue
686,381,426,1,4,red
705,357,400,0,5,red
724,171,194,0,6,red
764,324,353,1,7,red
585,748,324,0,8,green
582,594,167,0,9,green
595,622,270,0,10,green
