red,green,blue,off,position,color
571,268,595,5,10,green
421,183,477,46,11,green
652,208,599,2,12,yellow
655,182,605,5,13,yellow
579,124,611,14,14,yellow
716,194,644,36,15,yellow
407,120,351,0,0,blue
464,220,530,3,1,blue
480,159,479,5,2,blue
624,436,683,15,3,blue
572,369,317,108,4,red
695,432,392,16,5,red
737,219,167,2,6,red
754,353,315,4,7,red
506,282,759,0,8,green
540,154,553,0,9,green
572,269,596,4,10,green
421,182,476,47,11,green
652,208,598,2,12,yellow
657,183,607,3,13,yellow
580,124,612,13,14,yellow
716,190,644,36,15,yellow
406,120,350,1,0,blue
466,220,531,2,1,blue
479,158,478,6,2,blue
624,436,682,15,3,blue
573,370,319,107,4,red
694,432,392,16,5,red
739,219,167,1,6,red
756,354,316,3,7,red
507,281,759,0,8,green
541,155,552,0,9,green
573,268,596,5,10,green
422,183,477,46,11,green
651,206,597,3,12,yellow
656,182,606,4,13,yellow
581,124,612,13,14,yellow
715,193,642,38,15,yellow
407,121,350,0,0,blue
465,220,530,3,1,blue
480,157,480,5,2,blue
624,437,683,14,3,blue
572,369,317,108,4,red
693,431,391,17,5,red
737,219,167,2,6,red
757,355,316,2,7,red
506,281,759,0,8,green
540,155,552,0,9,green
571,267,594,6,10,green
421,181,476,47,11,green
652,207,598,2,12,yellow
655,180,604,5,13,yellow
580,123,612,13,14,yellow
720,197,648,32,15,yellow
406,120,351,0,0,blue
462,217,529,5,1,blue
478,157,479,6,2,blue
625,439,685,13,3,blue
572,369,317,108,4,red
693,432,392,16,5,red
738,220,168,1,6,red
757,356,318,1,7,red
506,281,759,0,8,green
540,154,552,0,9,green
572,268,595,5,10,green
422,184,478,45,11,green
652,207,598,2,12,yellow
652,178,602,7,13,yellow
579,122,612,13,14,yellow
712,188,641,39,15,yellow
406,125,353,1,0,blue
466,221,532,2,1,blue
476,150,467,7,2,blue
628,444,688,12,3,blue
577,372,320,107,4,red
695,430,390,16,5,red
736,220,167,1,6,red
767,358,320,0,7,red
515,290,761,0,8,green
538,149,552,1,9,green
573,272,594,5,10,green
423,177,477,47,11,green
666,206,616,3,12,yellow
662,185,606,4,13,yellow
571,122,609,15,14,yellow
700,190,628,37,15,yellow
406,124,353,1,0,blue
466,220,531,3,1,blue
479,154,470,4,2,blue
627,442,688,13,3,blue
576,372,320,107,4,red
695,431,390,16,5,red
735,218,166,2,6,red
765,356,318,2,7,red
515,290,763,0,8,green
538,151,553,0,9,green
574,272,595,4,10,green
423,178,478,46,11,green
664,206,615,4,12,yellow
661,184,605,5,13,yellow
575,126,613,11,14,yellow
701,186,630,36,15,yellow
406,125,354,1,0,blue
466,219,530,3,1,blue
477,152,468,6,2,blue
626,442,687,14,3,blue
578,373,320,106,4,red
694,431,389,16,5,red
735,219,167,2,6,red
764,356,317,2,7,red
515,291,762,0,8,green
538,151,553,0,9,green
575,274,596,3,10,green
424,178,478,46,11,green
665,207,615,3,12,yellow
662,186,606,4,13,yellow
572,123,610,14,14,yellow
698,186,626,39,15,yellow
407,124,355,0,0,blue
467,219,531,2,1,blue
477,152,468,6,2,blue
627,442,687,14,3,blue
577,372,320,107,4,red
696,431,391,15,5,red
734,218,167,2,6,red
763,355,316,4,7,red
515,290,762,0,8,green
539,151,554,0,9,green
574,272,596,4,10,green
424,178,478,46,11,green
667,207,617,2,12,yellow
660,184,605,5,13,yellow
573,125,611,13,14,yellow
704,193,632,33,15,yellow
407,124,354,0,0,blue
464,216,529,5,1,blue
478,151,468,6,2,blue
625,441,686,15,3,blue
575,371,319,108,4,red
695,431,389,16,5,red
737,221,169,0,6,red
764,356,318,2,7,red
515,291,762,0,8,green
538,151,553,0,9,green
573,271,595,5,10,green
424,177,478,46,11,green
669,209,619,0,12,yellow
660,182,604,6,13,yellow
573,124,611,13,14,yellow
700,189,629,36,15,yellow
406,124,354,0,0,blue
465,218,531,3,1,blue
478,151,470,5,2,blue
627,442,687,13,3,blue
573,369,317,110,4,red
694,431,390,16,5,red
736,220,167,1,6,red
766,358,320,0,7,red
514,291,762,0,8,green
538,151,553,0,9,green
570,268,592,8,10,green
423,178,478,46,11,green
666,206,616,3,12,yellow
662,185,606,4,13,yellow
573,123,612,12,14,yellow
699,190,627,37,15,yellow
404,125,354,0,0,blue
463,219,531,3,1,blue
475,151,469,6,2,blue
626,443,688,12,3,blue
571,370,318,109,4,red
690,429,388,18,5,red
733,220,167,2,6,red
764,358,319,1,7,red
512,291,762,0,8,green
536,151,553,0,9,green
571,271,595,5,10,green
421,178,478,46,11,green
666,207,617,2,12,yellow
660,184,606,4,13,yellow
571,124,611,13,14,yellow
701,188,631,34,15,yellow
407,124,354,0,0,blue
467,220,532,2,1,blue
478,151,468,6,2,blue
628,443,689,13,3,blue
575,371,319,108,4,red
691,429,388,18,5,red
733,218,166,3,6,red
765,358,319,1,7,red
514,291,762,0,8,green
538,150,553,0,9,green
575,273,597,3,10,green
422,176,477,47,11,green
667,207,617,2,12,yellow
662,185,606,4,13,yellow
573,124,611,13,14,yellow
700,190,628,37,15,yellow
407,123,354,0,0,blue
468,219,533,1,1,blue
477,150,467,7,2,blue
628,443,688,13,3,blue
576,372,320,107,4,red
693,429,389,17,5,red
733,217,167,3,6,red
765,357,319,1,7,red
514,290,760,1,8,green
539,151,553,0,9,green
574,272,596,4,10,green
424,177,478,46,11,green
669,208,618,1,12,yellow
662,184,606,4,13,yellow
574,124,612,12,14,yellow
704,190,633,33,15,yellow
407,125,354,0,0,blue
467,221,533,1,1,blue
475,149,466,8,2,blue
628,443,688,13,3,blue
576,372,320,107,4,red
695,430,389,17,5,red
733,217,166,3,6,red
765,358,320,0,7,red
515,290,761,0,8,green
539,153,553,0,9,green
575,274,596,3,10,green
422,176,477,47,11,green
667,206,616,3,12,yellow
663,186,607,3,13,yellow
572,121,609,15,14,yellow
699,186,628,38,15,yellow
407,124,357,0,0,blue
467,225,535,2,1,blue
476,148,466,6,2,blue
627,432,683,12,3,blue
578,373,320,106,4,red
696,432,391,16,5,red
731,215,166,4,6,red
759,356,318,1,7,red
513,287,759,0,8,green
541,157,556,0,9,green
574,269,599,3,10,green
421,182,475,47,11,green
670,211,621,2,12,yellow
665,179,610,4,13,yellow
577,125,608,13,14,yellow
714,193,643,33,15,yellow
406,125,357,0,0,blue
467,226,536,1,1,blue
474,147,464,8,2,blue
626,432,682,13,3,blue
578,372,320,107,4,red
697,433,392,15,5,red
734,217,168,3,6,red
760,357,318,1,7,red
513,288,759,0,8,green
541,156,556,0,9,green
573,269,599,4,10,green
421,182,475,47,11,green
671,213,622,1,12,yellow
666,179,609,4,13,yellow
575,123,606,15,14,yellow
708,189,639,38,15,yellow
406,124,356,1,0,blue
467,225,535,2,1,blue
474,147,464,8,2,blue
627,432,683,12,3,blue
578,373,320,106,4,red
697,432,391,16,5,red
731,215,166,4,6,red
761,358,320,0,7,red
513,287,759,0,8,green
539,152,554,2,9,green
574,270,599,3,10,green
421,183,475,47,11,green
670,211,621,2,12,yellow
664,179,608,5,13,yellow
575,122,606,15,14,yellow
713,196,643,33,15,yellow
405,124,356,1,0,blue
466,225,534,3,1,blue
476,149,466,6,2,blue
625,431,682,13,3,blue
576,372,319,107,4,red
696,432,391,16,5,red
734,218,167,2,6,red
759,357,318,1,7,red
512,287,760,0,8,green
540,154,555,1,9,green
