150,190,249,none
150,187,235,none
156,184,224,none
161,180,214,none
159,207,139,none
157,202,184,none
155,198,267,none
152,194,265,none
150,190,249,none
150,187,235,none
156,184,224,none
161,180,214,none
159,207,139,none
157,202,184,none
155,198,267,none
152,194,265,none
150,190,249,none
150,187,235,none
156,184,224,none
161,180,214,none
148,196,150,none
152,196,247,none
151,194,270,none
150,191,251,none
147,187,238,none
154,185,226,none
159,181,217,none
163,178,208,none
168,175,200,none
173,172,193,none
177,169,187,none
181,167,180,none
185,164,175,none
184,162,169,none
180,180,165,none
176,196,160,none
173,209,156,none
169,223,151,none
166,219,148,none
163,214,144,none
160,208,141,none
158,204,136,none
155,199,229,none
150,190,269,none
143,186,248,none
142,184,237,none
150,183,229,none
159,182,220,none
164,180,210,none
169,176,203,none
173,174,196,none
178,171,188,none
181,169,183,none
185,166,177,none
186,163,172,none
181,178,166,none
178,194,162,none
174,208,157,none
171,222,153,none
168,221,149,none
165,216,146,none
162,211,142,none
160,206,138,none
157,201,209,none
154,197,283,none
152,194,261,none
150,190,246,none
153,187,234,none
159,184,223,none
163,180,213,none
167,177,205,none
171,175,197,none
176,172,190,none
180,169,185,none
183,167,179,none
187,164,173,none
183,170,168,none
179,187,164,none
175,202,159,none
173,216,155,none
169,225,151,none
166,218,147,none
164,213,144,none
161,208,140,none
159,204,166,none
156,200,257,none
154,196,270,none
151,192,252,none
150,189,238,none
156,185,227,none
161,182,217,none
166,179,209,none
170,176,201,none
175,173,193,none
179,170,187,none
182,168,181,none
186,165,175,none
184,164,170,none
180,182,165,none
177,197,161,none
174,212,156,none
171,225,152,none
167,220,148,none
165,215,145,none
162,210,142,none
160,206,138,none
158,201,231,none
155,197,276,none
153,193,256,none
150,190,242,none
155,187,230,none
160,183,220,none
165,180,211,none
170,177,203,none
174,174,195,none
178,172,188,none
182,169,183,none
185,167,177,none
186,164,172,none
182,177,167,none
179,193,163,none
175,207,158,none
172,221,154,none
169,223,150,none
166,217,146,none
163,211,143,none
160,207,139,none
158,203,202,none
156,198,278,none
153,195,263,none
152,191,247,none
152,188,235,none
158,184,224,none
163,181,214,none
168,178,206,none
172,176,198,none
177,172,191,none
180,170,185,none
184,167,180,none
188,164,174,none
184,171,168,none
180,188,164,none
176,203,160,none
172,216,156,none
170,225,151,none
167,218,148,none
164,213,144,none
161,208,140,none
159,204,166,none
156,200,257,none
154,196,270,none
152,193,252,none
150,189,239,none
156,186,227,none
161,182,217,none
166,179,209,none
170,176,201,none
175,173,194,none
179,171,187,none
183,168,181,none
187,166,175,none
184,166,170,none
180,185,165,none
177,200,160,none
173,214,156,none
170,226,152,none
167,219,148,none
164,214,145,none
162,209,142,none
159,205,144,none
157,201,245,none
155,197,274,none
152,193,255,none
150,189,241,none
155,186,229,none
161,183,219,none
166,180,210,none
170,177,202,none
174,174,195,none
179,171,188,none
182,169,183,none
186,166,177,none
185,163,172,none
182,178,167,none
178,194,162,none
175,209,158,none
172,222,154,none
169,222,150,none
166,216,146,none
164,211,143,none
160,207,139,none
158,202,210,none
155,198,283,none
153,194,262,none
150,191,246,none
153,187,234,none
158,184,223,none
163,181,214,none
168,178,206,none
173,175,198,none
177,172,191,none
181,170,184,none
184,167,179,none
187,164,173,none
183,173,168,none
179,190,163,none
175,205,159,none
172,219,155,none
169,224,151,none
167,217,147,none
164,213,144,none
161,207,140,none
159,203,185,none
156,199,268,none
154,196,267,none
151,192,250,none
152,188,237,none
157,185,226,none
162,182,216,none
167,179,207,none
171,176,199,none
176,173,193,none
179,170,186,none
183,167,180,none
187,165,175,none
184,167,170,none
180,185,165,none
177,200,160,none
173,214,156,none
170,226,152,none
168,220,148,none
165,214,145,none
162,209,141,none
160,205,143,none
157,201,245,none
154,197,274,none
152,193,255,none
150,190,241,none
155,186,229,none
161,183,219,none
165,180,210,none
170,176,202,none
174,174,195,none
178,171,188,none
182,168,182,none
186,166,176,none
185,163,172,none
181,180,167,none
178,196,162,none
174,209,157,none
171,223,153,none
168,221,149,none
165,216,146,none
163,211,143,none
160,207,139,none
158,202,218,none
155,198,285,none
153,194,260,none
151,191,245,none
153,187,233,none
159,184,223,none
164,181,213,none
169,177,205,none
173,175,197,none
177,172,190,none
181,169,184,none
185,167,179,none
187,164,174,none
183,172,168,none
179,189,164,none
175,204,159,none
172,217,155,none
169,224,151,none
167,218,147,none
163,213,144,none
161,208,141,none
159,204,176,none
156,200,263,none
154,196,269,none
152,192,251,none
151,189,238,none
156,186,227,none
162,182,217,none
167,179,208,none
172,176,200,none
176,173,193,none
179,171,187,none
183,168,181,none
187,165,175,none
184,168,170,none
180,185,165,none
177,200,160,none
173,214,156,none
170,226,152,none
168,219,148,none
165,214,144,none
162,209,142,none
159,205,144,none
157,201,244,none
154,197,274,none
152,193,255,none
150,189,241,none
155,186,229,none
161,183,219,none
165,180,210,none
170,177,202,none
174,174,195,none
179,171,188,none
182,169,183,none
186,166,177,none
185,163,172,none
182,178,167,none
178,194,162,none
175,208,158,none
172,222,153,none
169,222,150,none
166,216,146,none
163,211,143,none
160,207,139,none
158,202,210,none
155,199,284,none
153,195,262,none
151,191,246,none
153,188,234,none
159,184,223,none
163,181,214,none
169,178,206,none
172,176,198,none
177,172,192,none
180,170,185,none
185,167,179,none
187,165,174,none
183,173,168,none
179,189,164,none
176,204,159,none
173,218,155,none
169,225,151,none
167,218,147,none
164,213,144,none
161,208,140,none
159,204,176,none
156,200,263,none
154,196,269,none
152,192,251,none
151,189,238,none
157,186,227,none
162,182,217,none
167,179,208,none
171,176,200,none
176,173,193,none
180,171,187,none
184,167,181,none
187,166,175,none
184,166,170,none
181,184,166,none
177,199,161,none
174,213,157,none
170,226,152,none
168,220,149,none
164,214,145,none
162,209,142,none
160,205,138,none
157,201,239,none
155,197,277,none
153,193,257,none
150,190,242,none
156,187,230,none
160,183,220,none
165,180,211,none
170,177,203,none
174,174,195,none
178,172,188,none
182,169,182,none
186,166,178,none
186,163,172,none
182,177,168,none
178,193,163,none
175,208,158,none
172,221,154,none
168,223,150,none
166,217,146,none
163,212,143,none
161,208,139,none
158,203,203,none
156,199,279,none
153,195,264,none
151,191,247,none
152,187,235,none
158,185,224,none
163,181,215,none
168,178,206,none
172,176,198,none
177,172,192,none
180,170,185,none
185,167,180,none
188,165,174,none
